"ID","log2sum","n","type"
"PFKL",0.482182706665398,2,"ns"
"PGD",0.0904302626048934,2,"ns"
"PHB2",0.425139663437592,1,"ns"
"PHPT1",-0.398648769187649,1,"ns"
"PICALM",0.10516795700101,1,"ns"
"PLEC",-0.680406972353813,4,"down"
"PLEKHO2",-0.1675301908406,1,"ns"
"PLG",1.02462885419745,1,"up"
"PPIA",-0.0193676668879489,1,"ns"
"PRDX2",-0.329141060368167,1,"ns"
"PRDX3",0.0162069444103654,1,"ns"
"PRELP",-0.292599444519297,2,"ns"
"PRKDC",1.17683747216794,1,"up"
"PRXL2A",0.213465141072173,1,"ns"
"PSMA7",0.11100153271035,2,"ns"
"PSMB3",0.766120462651941,1,"up"
"PSMC4",0.311200317473168,1,"ns"
"PSMD11",-0.0448131511931728,1,"ns"
"PSMD6",-0.392570524657292,1,"ns"
"PTBP1",-0.114113456383026,1,"ns"
"PTGR1",-0.31959857359042,1,"ns"
"PYGB",-0.171775937415901,1,"ns"
"RACK1",-0.0230560013602938,2,"ns"
"RALA",-0.10282332832981,1,"ns"
"RAN",-0.251308281419976,1,"ns"
"RARS1",0.142762427506848,1,"ns"
"RP2",-0.0372760978931792,1,"ns"
"RPL15",0.029087776504775,1,"ns"
"RPL18A",-0.237887894885121,1,"ns"
"RPL22",0.24594741593627,1,"ns"
"RPL3",-0.0473322635796804,1,"ns"
"RPL34",0.69241079964768,1,"up"
"RPL35A",0.490045845048717,2,"ns"
"RPL36",0.669945619736493,1,"up"
"RPL7",1.11846571115316,1,"up"
"RPN1",-0.115992395319541,3,"ns"
"RPN2",0.627286184736092,1,"up"
"RPS14",0.820679627457831,2,"up"
"RPS20",0.012221708193242,1,"ns"
"RPS5",0.10632816660332,1,"ns"
"RPS6",-0.0360479703373329,1,"ns"
"RPS9",1.13665283638138,3,"up"
"S100A10",0.0278599489485393,1,"ns"
"SAA4",0.280142887593569,1,"ns"
"SACM1L",0.479683787173208,1,"ns"
"SCARA5",-0.241418168219184,1,"ns"
"SCARB2",-0.126544882338106,1,"ns"
"SCCPDH",0.933429246257806,1,"up"
"SCYL1",-0.0100068550676187,1,"ns"
"SEC11C",0.510001208979399,1,"up"
"SEC13",0.301537247145099,1,"ns"
"SEC61A1",-0.0182645250647693,2,"ns"
"SELENOF",1.16602443867381,1,"up"
"SERP1",0.336120040363078,1,"ns"
