epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn
32,0,0,85.2174,84.0587,77.9489,91.2077,44390.26094055,90.5930,65.4124,76.8707,56.9270,2373.06259727,121318.0000,47283.0000,4558.0000,56101.0000,13376.0000,7622.0000,678.0000,513.0000,6227.0000,204.0000
33,0,0,85.1135,84.0488,78.4385,90.5234,44016.51814270,90.1469,64.5253,77.4376,55.3036,2585.32153702,121318.0000,47580.0000,4981.0000,55678.0000,13079.0000,7622.0000,683.0000,552.0000,6188.0000,199.0000
34,0,0,85.2512,84.1364,78.2242,91.0155,43655.73756409,90.5274,65.3883,77.3243,56.6445,2532.70081329,121318.0000,47450.0000,4684.0000,55975.0000,13209.0000,7622.0000,682.0000,522.0000,6218.0000,200.0000
35,0,0,85.2932,84.0878,77.7181,91.5949,43667.13970947,90.9341,66.0776,76.3039,58.2684,2379.64406776,121318.0000,47143.0000,4326.0000,56333.0000,13516.0000,7622.0000,673.0000,482.0000,6258.0000,209.0000
36,0,0,85.2775,84.0804,77.7576,91.5224,43588.37956238,90.8685,65.9491,76.4172,58.0034,2382.43553162,121318.0000,47167.0000,4369.0000,56290.0000,13492.0000,7622.0000,674.0000,488.0000,6252.0000,208.0000
37,0,0,85.2569,84.1910,78.5143,90.7525,43275.71528625,90.3569,65.0167,77.4376,56.0295,2582.62838745,121318.0000,47626.0000,4853.0000,55806.0000,13033.0000,7622.0000,683.0000,536.0000,6204.0000,199.0000
38,0,0,85.3056,84.2594,78.6594,90.7179,43137.48922729,90.3569,65.0167,77.4376,56.0295,2625.80559540,121318.0000,47714.0000,4882.0000,55777.0000,12945.0000,7622.0000,683.0000,536.0000,6204.0000,199.0000
39,0,0,85.3220,84.2093,78.2753,91.1169,43022.34541321,90.6455,65.6386,77.2109,57.0830,2530.50101662,121318.0000,47481.0000,4629.0000,56030.0000,13178.0000,7622.0000,681.0000,512.0000,6228.0000,201.0000
40,0,0,85.3418,84.2412,78.3577,91.0800,42862.43386841,90.6455,65.6386,77.2109,57.0830,2548.03419304,121318.0000,47531.0000,4655.0000,56004.0000,13128.0000,7622.0000,681.0000,512.0000,6228.0000,201.0000
41,0,0,85.3402,84.1484,77.8219,91.5946,42957.43046570,90.8817,65.9481,76.3039,58.0673,2392.38162231,121318.0000,47206.0000,4332.0000,56327.0000,13453.0000,7622.0000,673.0000,486.0000,6254.0000,209.0000
42,0,0,85.3262,84.1690,78.0165,91.3749,43084.04914856,90.7767,65.7908,76.6440,57.6300,2399.03243446,121318.0000,47324.0000,4467.0000,56192.0000,13335.0000,7622.0000,676.0000,497.0000,6243.0000,206.0000
43,0,0,85.3971,84.2737,78.2538,91.2969,42640.69816589,90.7505,65.7933,76.8707,57.5064,2491.63262749,121318.0000,47468.0000,4525.0000,56134.0000,13191.0000,7622.0000,678.0000,501.0000,6239.0000,204.0000
44,0,0,85.3872,84.2067,77.9126,91.6071,42842.31616211,90.9341,66.1108,76.4172,58.2541,2369.83547211,121318.0000,47261.0000,4330.0000,56329.0000,13398.0000,7622.0000,674.0000,483.0000,6257.0000,208.0000
45,0,0,85.3822,84.1477,77.5944,91.9099,42840.92253113,91.1309,66.5347,76.1905,59.0510,2289.06228828,121318.0000,47068.0000,4143.0000,56516.0000,13591.0000,7622.0000,672.0000,466.0000,6274.0000,210.0000
46,0,0,85.4679,84.4010,78.6281,91.0888,42274.25248718,90.5930,65.4791,77.0975,56.9038,2596.98503685,121318.0000,47695.0000,4666.0000,55993.0000,12964.0000,7622.0000,680.0000,515.0000,6225.0000,202.0000
47,0,0,85.4358,84.3206,78.3231,91.3127,42268.73454285,90.7767,65.8572,76.8707,57.6041,2494.37210655,121318.0000,47510.0000,4520.0000,56139.0000,13149.0000,7622.0000,678.0000,499.0000,6241.0000,204.0000
48,0,0,85.4061,84.1703,77.5994,91.9571,42410.56668091,91.2359,66.8322,76.3039,59.4523,2304.18454552,121318.0000,47071.0000,4117.0000,56542.0000,13588.0000,7622.0000,673.0000,459.0000,6281.0000,209.0000
49,0,0,85.4028,84.1670,77.5977,91.9516,42321.59196472,91.2228,66.7990,76.3039,59.3998,2313.37288857,121318.0000,47070.0000,4120.0000,56539.0000,13589.0000,7622.0000,673.0000,460.0000,6280.0000,209.0000
50,0,0,85.4119,84.4410,79.1721,90.4613,42272.92890930,90.1076,64.4004,77.3243,55.1780,2723.07364655,121318.0000,48025.0000,5064.0000,55595.0000,12634.0000,7622.0000,682.0000,554.0000,6186.0000,200.0000
51,0,0,85.4844,84.4112,78.6000,91.1503,41982.20385742,90.5799,65.3475,76.7574,56.8908,2566.33595467,121318.0000,47678.0000,4629.0000,56030.0000,12981.0000,7622.0000,677.0000,513.0000,6227.0000,205.0000
52,0,0,85.4515,84.3367,78.3346,91.3349,42018.90016174,90.7111,65.5977,76.5306,57.3980,2475.85981369,121318.0000,47517.0000,4508.0000,56151.0000,13142.0000,7622.0000,675.0000,501.0000,6239.0000,207.0000
53,0,0,85.4605,84.3157,78.1615,91.5219,41766.05419922,90.8029,65.8216,76.5306,57.7417,2479.64827919,121318.0000,47412.0000,4392.0000,56267.0000,13247.0000,7622.0000,675.0000,494.0000,6246.0000,207.0000
54,0,0,85.5026,84.4009,78.4401,91.3421,41934.09060669,90.7111,65.5977,76.5306,57.3980,2466.29151344,121318.0000,47581.0000,4510.0000,56149.0000,13078.0000,7622.0000,675.0000,501.0000,6239.0000,207.0000
55,0,0,85.4960,84.4200,78.5902,91.1842,41843.56838989,90.5799,65.2805,76.5306,56.9140,2528.11225510,121318.0000,47672.0000,4609.0000,56050.0000,12987.0000,7622.0000,675.0000,511.0000,6229.0000,207.0000
56,0,0,85.4416,84.2705,77.9967,91.6420,41946.99671936,90.9341,66.1440,76.5306,58.2399,2382.63375473,121318.0000,47312.0000,4315.0000,56344.0000,13347.0000,7622.0000,675.0000,484.0000,6256.0000,207.0000
57,0,0,85.4053,84.1978,77.7642,91.7920,41850.45863342,91.0785,66.4363,76.3039,58.8287,2345.55658722,121318.0000,47171.0000,4218.0000,56441.0000,13488.0000,7622.0000,673.0000,471.0000,6269.0000,209.0000
58,0,0,85.4482,84.2670,77.9406,91.7111,41593.87838745,90.9997,66.3065,76.5306,58.4922,2404.04663277,121318.0000,47278.0000,4273.0000,56386.0000,13381.0000,7622.0000,675.0000,479.0000,6261.0000,207.0000
59,0,0,85.5380,84.3879,78.1714,91.6786,41409.30320740,90.9866,66.2408,76.4172,58.4562,2449.95014763,121318.0000,47418.0000,4304.0000,56355.0000,13241.0000,7622.0000,674.0000,479.0000,6261.0000,208.0000
0,1,1,64.4026,59.5189,52.3385,68.9829,80302.77520752,73.8782,32.4856,54.3084,23.1737,4875.10395050,121318.0000,31748.0000,14275.0000,46384.0000,28911.0000,7622.0000,479.0000,1588.0000,5152.0000,403.0000
1,1,1,67.5184,68.1763,69.5857,66.8229,73338.46890259,66.3605,33.0548,71.7687,21.4722,4709.68677521,121318.0000,42210.0000,20957.0000,39702.0000,18449.0000,7622.0000,633.0000,2315.0000,4425.0000,249.0000
2,1,1,70.2715,70.1939,70.0110,70.3777,70350.71939087,70.5983,35.9165,71.2018,24.0153,4356.66930771,121318.0000,42468.0000,17875.0000,42784.0000,18191.0000,7622.0000,628.0000,1987.0000,4753.0000,254.0000
3,1,1,73.9453,74.0776,74.4556,73.7034,66071.67919922,73.2485,39.4776,75.3968,26.7390,4132.15271759,121318.0000,45164.0000,16114.0000,44545.0000,15495.0000,7622.0000,665.0000,1822.0000,4918.0000,217.0000
4,1,1,77.0108,77.1120,77.4526,76.7742,61814.86103821,76.5678,43.6237,78.3447,30.2275,3931.72468185,121318.0000,46982.0000,14213.0000,46446.0000,13677.0000,7622.0000,691.0000,1595.0000,5145.0000,191.0000
