"predictions","Actual","predictions_type","AUC","Fold","Model"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"1",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",1,"testing",0.839285714285714,1,"1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"1",1,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"0",0,"testing",0.839285714285714,1,"1Logistic Regression"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",1,"training",0.901785714285714,1,"2ridge"
"1",0,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",0,"training",0.901785714285714,1,"2ridge"
"0",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"0",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
"1",1,"training",0.901785714285714,1,"2ridge"
